全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,名称_通称,POIコード,外部識別子,外部識別子の値,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,団体名,利用可能曜日,開始時間,終了時間,利用可能時間特記事項,説明,車椅子可,車椅子貸出,ツエ貸出,バリアフリートイレ,スロープ、エレベータ、エスカレータ,点字ブロック等の移動支援,点字や読上による支援,盲導犬・介助犬、聴導犬同伴,字幕,筆談対応,優先駐車場,オストメイト対応トイレ,授乳室,おむつ替えコーナー,飲食可否,ベビーカー貸出,ベビーカー利用,URL,画像,画像_ライセンス,備考
402052,,福岡県飯塚市,鯰田小学校,ﾅﾏｽﾞﾀｼｮｳｶﾞｯｺｳ,,,1503,,,,,福岡県飯塚市鯰田1263番地,,飯塚市,,,,33.66922222,130.7058611,,,0948-22-3299,,,,,820-0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,立岩小学校,ﾀﾃｲﾜｼｮｳｶﾞｯｺｳ        ,,,1503,,,,,福岡県飯塚市立岩1176番地1,,飯塚市,,,,33.65216667,130.6943056,,,0948-22-0005,,,,,820-0003,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,飯塚東小学校,ｲｲﾂﾞｶﾋｶﾞｼｼｮｳｶﾞｯｺｳ,,,1503,,,,,福岡県飯塚市下三緒54番地,,飯塚市,,,,33.63219444,130.7070278,,,0948-22-3267,,,,,820-0012,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,菰田小学校,ｺﾓﾀﾞｼｮｳｶﾞｯｺｳ,,,1503,,,,,福岡県飯塚市菰田東2丁目19番5号  ,,飯塚市,,,,33.63125,130.6928611,,,0948-22-0560,,,,,820-0016,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,飯塚小学校,ｲｲﾂﾞｶｼｮｳｶﾞｯｺｳ,,,1503,,,,,福岡県飯塚市西徳前2番6号,,飯塚市,,,,33.63830556,130.6815833,,,0948-22-3026,,,,,820-0031,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,片島小学校,ｶﾀｼﾏｼｮｳｶﾞｯｺｳ,,,1503,,,,,福岡県飯塚市片島3丁目8番5号,,飯塚市,,,,33.6481927,130.6812212,,,0948-22-0289,,,,,820-0068,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,伊岐須小学校,ｲｷﾞｽｼｮｳｶﾞｯｺｳ,,,1503,,,,,福岡県飯塚市伊岐須843番地,,飯塚市,,,,33.65495778,130.6594457,,,0948-22-2349,,,,,820-0053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,幸袋小学校（小中一貫校幸袋校）,ｺｳﾌﾞｸﾛｼｮｳｶﾞｯｺｳ        ,,,1503,,,,,福岡県飯塚市中730番地1,,飯塚市,,,,33.66674663,130.680657,,,0948-22-0613,,,,,820-0065,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,飯塚鎮西小学校（小中一貫校飯塚鎮西校）,ｲｲﾂﾞｶﾁﾝｾﾞｲｼｮｳｶﾞｯｺｳ,,,1503,,,,,福岡県飯塚市大日寺141番地,,飯塚市,,,,33.63765187,130.6474889,,,0948-22-0298,,,,,820-0046,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402052,,福岡県飯塚市,八木山小学校,ﾔｷﾔﾏｼｮｳｶﾞｯｺｳ,,,1503,,,,,福岡県飯塚市八木山693番地1  ,,飯塚市,,,,33.63013889,130.6125833,,,0948-22-2951,,,,,820-0047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
