全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,名称_英字,医療機関の種類,所在地_全国地方公共団体コード,町字ID,所在地_連結表記,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,電話番号,内線番号,FAX番号,連絡先メールアドレス,連絡先FormURL,連絡先備考（その他、SNSなど）,郵便番号,法人番号,法人の名称,医療機関コード,診療曜日,診療開始時間,診療終了時間,診療日時特記事項,時間外における対応,診療科目,病床数,災害拠点分類,状況,URL,画像,画像_ライセンス,備考
402052,0000000001,福岡県飯塚市,あい内科・消化器科クリニック,アイナイカ・ショウカキカクリニック,,無床診療所,,,福岡県飯塚市菰田西1丁目6-24,,飯塚市,,,,33.627601,130.687754,,,0948-22-0703,,,,,,,,,,月火水木金土,09:00,17:30,"木土:午後休診
外来受付は月曜日より金曜日までの午前中は朝９時より１２時までで、木曜日と土曜日の午後は休診しています。午後の診療は月曜日より金曜日までは１４時３０分より１７時３０分です。お間違いの無いようにお願いいたします。診療科目名が変更になりました。内科、消化器科、呼吸器科→内科（肝臓、胃腸、消化器、呼吸器）",,内科（肝臓、胃腸、消化器、呼吸器）、リハビリテーション科、小児科、アレルギー科,0,,,https://www.ai-clinic.biz/,,,
402052,0000000002,福岡県飯塚市,あおぞら整形外科医院,アオゾラセイケイゲカイイン,,無床診療所,,,福岡県飯塚市上三緒445番地2,,飯塚市,,,,33.625805,130.71552,,,0948-26-5066,,,,,,,,,,月火水木金土,08:45,17:20,"土:午後休診
初めての方もご予約下さい。",,内科、整形外科、リハビリテーション科、リウマチ科,0,,,http://www.aozora-seikeigeka.com/,,,
402052,0000000003,福岡県飯塚市,青山医院,アオヤマイイン,,無床診療所,,,福岡県飯塚市高田972番地１,,飯塚市,,,,33.602539,130.637022,,,0948-22-6328,,,,,,,,,,月火水木金土,08:30,18:00,金土:午後休診,,内科、外科、小児科、消化器内科,0,,,,,,
402052,0000000004,福岡県飯塚市,青山外科医院,アオヤマゲカイイン,,無床診療所,,,福岡県飯塚市吉原町10-6,,飯塚市,,,,33.639957,130.686874,,,0948-22-0212,,,,,,,,,,月火金土日祝,09:00,17:00,火:午後休診,,外科、整形外科、皮膚科,0,,,http://www.aoyamageka.com/,,,
402052,0000000005,福岡県飯塚市,青山診療所,アオヤマシンリョウジョ,,無床診療所,,,福岡県飯塚市大分1448番地14,,飯塚市,,,,33.588374,130.632007,,,0948-72-0072,,,,,,,,,,火水,15:30,17:00,,,内科、小児科,0,,,,,,
402052,0000000006,福岡県飯塚市,（医）アガペ　こどもクリニックもりた,アガペコドモクリニックモリタ,,無床診療所,,,福岡県飯塚市横田649-10,,飯塚市,,,,33.645367,130.667138,,,0948-26-6650,,,,,,,,,,月火水金土,08:30,17:30,土:午後休診,,内科、小児科,0,,,https://clinic-morita.com/,,,
402052,0000000007,福岡県飯塚市,鰺坂皮膚科,アジサカヒフカ,,無床診療所,,,福岡県飯塚市菰田西２丁目7-33,,飯塚市,,,,33.630933,130.68895,,,0948-22-0236,,,,,,,,,,月火水木金土,09:00,17:00,木土:午後休診,,内科・皮膚科,0,,,,,,
402052,0000000008,福岡県飯塚市,麻生耳鼻咽喉科クリニック,アソウジビインコウカクリニック,,無床診療所,,,福岡県飯塚市堀池254-2,,飯塚市,,,,33.624134,130.682309,,,0948-28-1122,,,,,,,,,,月火水木金土,09:00,18:30,"火土:9:00-13:00、15:00-17:00
木:午後休診",,耳鼻咽喉科、気管食道科,0,,,https://www.aso-ent.or.jp/,,,
402052,0000000009,福岡県飯塚市,あまいろクリニック飯塚,アマイロクリニックイイヅカ,,無床診療所,,,福岡県飯塚市芳雄町19番34号　構木ビル2階,,飯塚市,,,,33.639191,130.692291,,,0948-80-1806,,,,,,,,,,月火水木金土,09:00,17:30,詳細はホームページをご覧ください。,,内科　　漢方内科,0,,,https://amairo-clinic.com/,,,
402052,0000000010,福岡県飯塚市,飯塚医師会診療所,イイヅカイシカイシンリョウジョ,,無床診療所,,,福岡県飯塚市吉原町1番1号サンメディック飯塚２階,,飯塚市,,,,33.64125,130.685908,,,0948-22-5622,,,,,,,,,,,,,,,内科、外科、放射線科,0,,,,,,
402052,0000000011,福岡県飯塚市,飯塚記念病院,イイヅカキネンビョウイン,,病院,,,福岡県飯塚市鶴三緒1452-2,,飯塚市,,,,33.625278,130.696363,,,0948-22-2316,,,,,,,,,,月火水木金,08:30,17:00,"内科:8:30-12:00、13:00-16:30
消化器内科:9:00-12:00、13:00-17:00
初診・再診ともに完全予約制です。初診の場合は必ず事前に電話予約をお願いします。",,内科、精神科、神経科、心療内科、歯科、腎内、消内、整形,400,,,https://www.iizukakinen.jp/,,,
402052,0000000012,福岡県飯塚市,飯塚急患センター,イイヅカキュウカンセンター,,無床診療所,,,福岡県飯塚市吉原町1番1号,,飯塚市,,,,33.64125,130.685908,,,0948-24-3399,,,,,,,,,,月火水木金土日祝,18:00,21:45,"平日:19:00-20:45
年末年始［12/31、1/1、1/2、1/3］ 14:00～17:30（受付17:15まで）、 18:00～22:00（受付21:45まで）",,内科、小児科,0,,,https://iizuka-med.or.jp/night/,,,
402052,0000000013,福岡県飯塚市,いいづかこども診療所,イイヅカコドモシンリョウジョ,,無床診療所,,,福岡県飯塚市吉原町537番地,,飯塚市,,,,33.642715,130.685409,,,0948-80-5630,,,,,,,,,,月火水木金土,09:00,17:30,,,小児科、アレルギー科、内科,0,,,http://www.iikodomo.com/,,,
